iter	Logloss
0	0.6678401322
1	0.6478035183
2	0.6344071436
3	0.6247126878
4	0.6162770433
5	0.6100231468
6	0.6046634991
7	0.6008995953
8	0.5981069574
9	0.5955282611
10	0.5937916203
11	0.592072086
12	0.5906438263
13	0.5893252773
14	0.588415521
15	0.587632629
16	0.5863400452
17	0.5850542475
18	0.5845398249
19	0.584090421
20	0.583779335
21	0.5832927177
22	0.5827378858
23	0.5824855494
24	0.581951409
25	0.581543436
26	0.5809648372
27	0.5803894843
28	0.5801113023
29	0.5797996983
30	0.5794996249
31	0.5792655812
32	0.5791926698
33	0.5789553623
34	0.5787517205
35	0.5782964709
36	0.5776194076
37	0.5772461606
38	0.5769274844
39	0.5766556146
40	0.5762518392
41	0.575290274
42	0.5749321406
43	0.5748111895
44	0.5746520424
45	0.574352292
46	0.5741246718
47	0.5734764641
48	0.5732857081
49	0.5731695355
50	0.5730915431
51	0.5727776943
52	0.572300906
53	0.5716300854
54	0.5714870379
55	0.5713491853
56	0.5712525728
57	0.5711469483
58	0.5710549706
59	0.5706705029
60	0.5703972931
61	0.5697132864
62	0.569483261
63	0.5693090103
64	0.5689674982
65	0.5688112352
66	0.568597344
67	0.5683425626
68	0.5679931989
69	0.567848531
70	0.5677260815
71	0.5676054972
72	0.5673356374
73	0.5671315244
74	0.5668775202
75	0.5663136029
76	0.5661922361
77	0.5659567968
78	0.5657419159
79	0.5654971101
80	0.565342934
81	0.5652257194
82	0.5651278996
83	0.5648760051
84	0.5647189944
85	0.5645199233
86	0.5643482696
87	0.5642711709
88	0.5640645851
89	0.5638406352
90	0.5636396781
91	0.5631853466
92	0.5630685167
93	0.5628847504
94	0.5627676873
95	0.5626394782
96	0.5623341497
97	0.5622736549
98	0.5620467239
99	0.5614963759
100	0.5613704504
101	0.5611246514
102	0.5610629166
103	0.560652637
104	0.560491238
105	0.5603676924
106	0.5602709861
107	0.560050834
108	0.5598473093
109	0.5596645984
110	0.5596032919
111	0.55928853
112	0.5592373743
113	0.5589920503
114	0.5587526866
115	0.5586564024
116	0.5585270371
117	0.5583999632
118	0.5582466876
119	0.5581073737
120	0.5579233264
121	0.5576703432
122	0.5575123048
123	0.5573318266
124	0.5571065601
125	0.5565558958
126	0.5564218465
127	0.5563645443
128	0.5561966739
129	0.5556939433
130	0.5554823907
131	0.5551624863
132	0.5549114381
133	0.5548728454
134	0.5546945642
135	0.5545853985
136	0.5544472813
137	0.5542225098
138	0.5541165242
139	0.5539008318
140	0.5537060133
141	0.553495464
142	0.5534393289
143	0.5533687232
144	0.5532662247
145	0.5529964075
146	0.5527811586
147	0.5526364419
148	0.5524393632
149	0.5523056672
150	0.5522216252
151	0.5521203919
152	0.5517562693
153	0.5516246351
154	0.5514840337
155	0.5513763601
156	0.5512865636
157	0.5511495332
158	0.5510956604
159	0.5508895101
160	0.5505622981
161	0.5503070919
162	0.5502153441
163	0.5500071456
164	0.549843091
165	0.5495682686
166	0.5494171433
167	0.5493742813
168	0.5492125135
169	0.5491744455
170	0.5491152003
171	0.5490074155
172	0.5489078659
173	0.548808258
174	0.5487283765
175	0.548567153
176	0.5485057199
177	0.5483649192
178	0.5481872822
179	0.5480807942
180	0.5479879766
181	0.5476805967
182	0.5473885711
183	0.5473277385
184	0.5471737984
185	0.5470199067
186	0.5469187948
187	0.5467904415
188	0.5467242791
189	0.5466660491
190	0.5465611852
191	0.5464881077
192	0.5462911236
193	0.5462643681
194	0.5461817497
195	0.5460816054
196	0.5459370583
197	0.5457887986
198	0.5456678506
199	0.5455180995
200	0.5454354668
201	0.5452263156
202	0.5451908365
203	0.5451344358
204	0.5449952711
205	0.5449165815
206	0.5448465481
207	0.5447588102
208	0.5446818646
209	0.5445521874
210	0.5444875905
211	0.5444263175
212	0.5442637105
213	0.5441449906
214	0.5441075882
215	0.5439094123
216	0.5437996968
217	0.5437579583
218	0.5436370068
219	0.5435851037
220	0.5434989625
221	0.5434637845
222	0.5433620418
223	0.5432629258
224	0.5432011423
225	0.543155028
226	0.5430065396
227	0.5429214128
228	0.5428657101
229	0.5428384717
230	0.5427857627
231	0.5426712557
232	0.5426097258
233	0.5425427889
234	0.5424619606
235	0.542372444
236	0.5423317167
237	0.5422956297
238	0.5421063311
239	0.542055506
240	0.5419463373
241	0.5418584703
242	0.5418000569
243	0.5417583082
244	0.5416687069
245	0.5415886731
246	0.5414647933
247	0.5413042804
248	0.5411494604
249	0.5410347927
250	0.5409773734
251	0.5408748724
252	0.5408228753
253	0.5407237413
254	0.5405559776
255	0.5404442302
256	0.540329096
257	0.5403009012
258	0.5400913108
259	0.5398915986
260	0.5397899643
261	0.5397376226
262	0.5396146458
263	0.5395298805
264	0.5394099435
265	0.53928314
266	0.5392471117
267	0.5391984384
268	0.5389936856
269	0.538914549
270	0.5388020609
271	0.538652672
272	0.5385516395
273	0.5384466875
274	0.5384170343
275	0.5382976773
276	0.5382471464
277	0.5381861989
278	0.53815078
279	0.5380691944
280	0.5379850124
281	0.5378573413
282	0.5378393353
283	0.5377686333
284	0.5376967355
285	0.5376675322
286	0.5376409217
287	0.5376216691
288	0.5375584961
289	0.5374976075
290	0.5374152468
291	0.5373632056
292	0.5372879669
293	0.5371907512
294	0.5370447628
295	0.53694453
296	0.5368679934
297	0.5367659317
298	0.5366714791
299	0.5365996165
300	0.5364995419
301	0.5364684473
302	0.5364306555
303	0.5363361963
304	0.5362847264
305	0.53626196
306	0.5361355556
307	0.5360740181
308	0.5360081627
309	0.5359221331
310	0.5358876409
311	0.5358280632
312	0.5356692552
313	0.5356066675
314	0.5355651387
315	0.5354605377
316	0.5353298539
317	0.5352717351
318	0.5352195921
319	0.5351210576
320	0.5350063099
321	0.5349347242
322	0.534875323
323	0.5348424305
324	0.5347349765
325	0.534644541
326	0.5345743201
327	0.5345242601
328	0.5343901648
329	0.5343073381
330	0.5341955941
331	0.53413928
332	0.5340576441
333	0.533985949
334	0.5339102655
335	0.5338531842
336	0.5338140143
337	0.5337841997
338	0.5337058239
339	0.5336431803
340	0.5335999432
341	0.5335245874
342	0.5334545587
343	0.5334053034
344	0.5333341755
345	0.5333207497
346	0.5332490365
347	0.5332002481
348	0.5330989272
349	0.5330721963
350	0.53305577
351	0.5330185897
352	0.5328688625
353	0.5328180948
354	0.532709501
355	0.532687863
356	0.5325832075
357	0.5324964916
358	0.5324109227
359	0.5323798403
360	0.5322999427
361	0.5322508466
362	0.5322046234
363	0.5321558525
364	0.5320610878
365	0.5320173997
366	0.5319779329
367	0.5319297397
368	0.5318763513
369	0.5318277062
370	0.5317993961
371	0.5317492706
372	0.53169728
373	0.5316631904
374	0.5316149359
375	0.5315136951
376	0.5314847782
377	0.5314186223
378	0.5313956758
379	0.5313552505
380	0.531290637
381	0.5312628476
382	0.531123476
383	0.5310567202
384	0.5309988936
385	0.5308964163
386	0.5308207913
387	0.5307462211
388	0.530714231
389	0.5306691467
390	0.5305956439
391	0.5305675798
392	0.5305361549
393	0.5304665862
394	0.5304538042
395	0.5304370597
396	0.5304017753
397	0.5303700903
398	0.5303338164
399	0.5303052663
400	0.5302359569
401	0.5302163061
402	0.5301294092
403	0.5301019011
404	0.5300846319
405	0.5300378972
406	0.5299459782
407	0.5298926501
408	0.5298263256
409	0.5298097845
410	0.5297170443
411	0.5296559274
412	0.5296023746
413	0.5294967433
414	0.5293789253
415	0.5293504832
416	0.5293149087
417	0.5292785697
418	0.529230807
419	0.5291172226
420	0.5290749858
421	0.5290438422
422	0.5289718707
423	0.5289493392
424	0.5289083184
425	0.5287890175
426	0.5287256122
427	0.5287103819
428	0.5286541353
429	0.5286247246
430	0.5285914807
431	0.5285336058
432	0.5284944839
433	0.5284612801
434	0.5283962221
435	0.5283638778
436	0.5283397426
437	0.5282711971
438	0.5281975082
439	0.5281627101
440	0.5281340554
441	0.5281141871
442	0.5280629224
443	0.5280337324
444	0.5280110525
445	0.5279513379
446	0.5279393175
447	0.5279163976
448	0.5278295344
449	0.5277427556
450	0.5276969546
451	0.5276511695
452	0.5275863473
453	0.5275160005
454	0.527490679
455	0.5274526726
456	0.5274335795
457	0.5273947158
458	0.5273494149
459	0.5273029585
460	0.5271971758
461	0.527164137
462	0.5271171781
463	0.527073227
464	0.5269220418
465	0.5269034717
466	0.5267767909
467	0.5266598529
468	0.5266341665
469	0.5265659101
470	0.5265050965
471	0.5264710758
472	0.5264451014
473	0.5263922935
474	0.5263544379
475	0.5263067247
476	0.5262627508
477	0.5262082314
478	0.526080089
479	0.5260480002
480	0.5260305651
481	0.5259984927
482	0.525963982
483	0.5258427373
484	0.5258144702
485	0.5257488456
486	0.5257124408
487	0.5255552312
488	0.5255222916
489	0.5255026294
490	0.5254876222
491	0.5254296259
492	0.525376645
493	0.5253129051
494	0.5252927654
495	0.525266454
496	0.525246885
497	0.5252065256
498	0.5251273992
499	0.5250544271
