ADDR_PCT_CD,assault_3_&_related_offenses,criminal_mischief_&_related_of,dangerous_drugs,felony_assault,grand_larceny,harrassment_2,miscellaneous_penal_law,off._agnst_pub_ord_sensblty_&,petit_larceny,robbery
1.0,0.07616146230007616,0.07666920538207667,0.03884234577303884,0.01624777862401625,0.19903528814419905,0.12845899974612845,0.009647118558009647,0.07666920538207667,0.3665905052043666,0.011678090886011678
5.0,0.11961337092227145,0.10592025775271849,0.03544099879178413,0.056383407168747485,0.17237213048731373,0.13532017720499395,0.028594442207007652,0.03664921465968586,0.2774869109947644,0.03221908981071285
6.0,0.10240963855421686,0.0823293172690763,0.04350736278447122,0.028447121820615796,0.2459839357429719,0.11144578313253012,0.011713520749665328,0.03246318607764391,0.31224899598393574,0.029451137884872823
7.0,0.15041681768756796,0.1402682131206959,0.08662558898151504,0.03769481696266763,0.11670895251902863,0.16962667633200434,0.03008336353751359,0.05436752446538601,0.17868793040956868,0.03552011598405219
9.0,0.11961722488038277,0.08781311567689276,0.08696875879538418,0.037996059667886294,0.1942020827469744,0.11961722488038277,0.022797635800731776,0.04643962848297214,0.2516183506895581,0.032929918378834785
10.0,0.12092833876221498,0.08509771986970684,0.07614006514657981,0.029723127035830618,0.22394136807817588,0.13355048859934854,0.013843648208469055,0.06311074918566775,0.22434853420195439,0.029315960912052116
13.0,0.07874969711654956,0.06518051853646717,0.028592197722316453,0.03077295856554398,0.24545674824327599,0.11364187060818996,0.01696147322510298,0.05379210079961231,0.3457717470317422,0.021080688151199418
14.0,0.08632982021078735,0.0365778053316801,0.06447613143211407,0.02045877247365158,0.23713577185368878,0.07749535027898326,0.01735895846249225,0.03812771233725976,0.3997210167389957,0.022318660880347178
17.0,0.09060877772534215,0.11137328928739972,0.030202925908447382,0.026899480887210947,0.25530910806984425,0.14487966021708354,0.011798017932987258,0.05143935818782445,0.25625294950448324,0.021236432279377066
18.0,0.09801720912832024,0.047325102880658436,0.06771417882528993,0.027123082678638236,0.255331088664422,0.13954358398802844,0.01440329218106996,0.04564160119715675,0.28114478114478114,0.023756079311634867
19.0,0.0745421717823059,0.10007737941707506,0.0054165591952540625,0.02398761929326799,0.2723755481042043,0.1330925973690998,0.013412432293010059,0.03972143409852979,0.3211245808614908,0.016249677585762186
